gps_tow(sec), total_sv, prn, pseudorange(m), snr(dB-Hz), el(deg), az(deg), err_tropo(m), err_iono(m), sat_clk_err(m), sat_pos_x(m), sat_pos_y(m), sat_pos_z(m)
310860,13,  1, 21034226.1910,30.00,77.02, 71.12, 2.47, 1.52,  -7895.68,-13524432.6808, 19665813.7917, 11205182.6627
310860,13,  7, 21264000.9730,30.00,64.99,224.45, 2.65, 1.61,  73034.43, -4879887.7404, 25619749.8671,  3734591.4814
310860,13,  8, 24184271.3710,27.00,25.72, 43.60, 5.52, 2.89, -26851.68,-17057186.1168,  2725077.8861, 20271166.2512
310860,13, 11, 21422650.9540,26.00,66.19, 19.20, 2.63, 1.60,-220437.17,-10711370.4275, 17265127.9555, 16615830.5692
310860,13, 22, 24064076.9060,22.00,26.44,120.19, 5.38, 2.85, -82649.73,-24218963.8717, 10334664.3736, -3300108.1723
310860,13, 28, 23895846.3720,12.00,31.70,327.84, 4.57, 2.56, 205261.23,  5141195.7179, 14185944.4922, 22487665.4542
310860,13, 30, 21729823.9610,21.00,58.40,284.50, 2.82, 1.71,  32302.35,   921996.5432, 23758467.0529, 11684294.4253
310860,13, 87, 37768509.6040,28.00,52.06,126.28, 3.05, 1.83,  92533.91,-32265308.5926, 27127359.6927,  1040072.0734
310860,13, 88, 38249753.6980,28.00,47.04,236.43, 3.28, 1.96, -57973.54,  4358261.4352, 41950839.1123,  -225580.4558
310860,13, 89, 37269780.0080,28.00,65.09,190.11, 2.65, 1.61, -54032.35,-14796871.1947, 39486103.9848,   988446.2384
310860,13, 93, 36818718.1420,27.00,74.44,103.26, 2.50, 1.54, -88310.36,-24377104.8529, 31433008.7511, 13473427.3404
310860,13, 94, 36933819.2720,22.00,77.09,299.69, 2.47, 1.52,  44299.19, -8739917.7478, 36536425.2255, 19452739.6358
310860,13, 96, 36854694.9060,20.00,73.49,343.42, 2.51, 1.54,   5079.97,-11302899.1658, 32270360.9874, 24557882.9655
310861,10,  1, 21034383.1730,30.00,77.01, 71.09, 2.46, 1.52,  -7895.68,-13524270.7076, 19664350.2890, 11207941.1122
310861,10,  7, 21264260.8420,30.00,64.98,224.44, 2.65, 1.61,  73034.43, -4880321.7399, 25620095.9607,  3731436.8340
310861,10,  8, 24184732.8770,25.00,25.72, 43.60, 5.51, 2.89, -26851.68,-17058936.7210,  2723214.6388, 20269953.0365
310861,10, 11, 21422954.5700,25.00,66.18, 19.21, 2.62, 1.60,-220437.17,-10711967.7265, 17262959.3698, 16617624.9840
310861,10, 22, 24063858.4300,20.00,26.45,120.18, 5.37, 2.85, -82649.74,-24219511.0332, 10334428.8174, -3297052.8581
310861,10, 30, 21729762.8500,20.00,58.40,284.49, 2.82, 1.71,  32302.35,   921247.8112, 23759789.3311, 11681649.2425
310861,10, 89, 37269850.9430,26.00,65.09,190.11, 2.65, 1.61, -54032.33,-14796870.2320, 39486105.6690,   988488.1728
310861,10, 93, 36818770.2130,25.00,74.44,103.28, 2.49, 1.54, -88310.36,-24376827.4748, 31434173.5633, 13471170.2520
310861,10, 94, 36933952.7660,21.00,77.09,299.71, 2.46, 1.52,  44299.20, -8738763.6192, 36535536.2894, 19454926.5457
310861,10, 96, 36854671.8720,17.00,73.49,343.42, 2.50, 1.54,   5079.97,-11303096.5066, 32271555.3925, 24556197.5896
310862, 9,  1, 21034530.5400,30.00,77.01, 71.05, 2.47, 1.52,  -7895.68,-13524108.7260, 19662886.4391, 11210699.3187
310862, 9,  7, 21264519.8730,30.00,64.98,224.42, 2.65, 1.61,  73034.43, -4880755.6090, 25620441.6954,  3728282.1044
310862, 9,  8, 24185195.0460,24.00,25.71, 43.61, 5.51, 2.89, -26851.68,-17060687.3273,  2721351.6046, 20268739.3945
310862, 9, 11, 21423263.4740,23.00,66.17, 19.21, 2.63, 1.60,-220437.17,-10712565.1626, 17260790.5825, 16619419.0325
310862, 9, 22, 24063640.5640,19.00,26.45,120.17, 5.37, 2.85, -82649.74,-24220057.8414, 10334193.1754, -3293997.4734
310862, 9, 30, 21729699.1390,20.00,58.41,284.47, 2.82, 1.71,  32302.35,   920499.2578, 23761111.3352, 11679003.8098
310862, 9, 93, 36818828.4790,23.00,74.44,103.29, 2.49, 1.54, -88310.37,-24376549.9252, 31435338.3331, 13468913.0912
310862, 9, 94, 36934086.1030,19.00,77.08,299.72, 2.46, 1.52,  44299.21, -8737609.6211, 36534647.1866, 19457113.3536
310862, 9, 96, 36854649.0300,14.00,73.49,343.42, 2.51, 1.54,   5079.96,-11303293.6723, 32272749.8254, 24554512.0829
310863,10,  1, 21034681.4320,30.00,77.00, 71.01, 2.46, 1.52,  -7895.68,-13523946.7358, 19661422.2425, 11213457.2814
310863,10,  7, 21264781.4340,32.00,64.97,224.40, 2.64, 1.61,  73034.43, -4881189.3468, 25620787.0711,  3725127.2943
310863,10,  8, 24185655.1740,26.00,25.71, 43.61, 5.49, 2.89, -26851.68,-17062437.9365,  2719488.7821, 20267525.3245
310863,10, 11, 21423568.7300,23.00,66.16, 19.22, 2.62, 1.60,-220437.17,-10713162.7355, 17258621.5943, 16621212.7141
310863,10, 22, 24063423.1510,21.00,26.45,120.17, 5.35, 2.85, -82649.74,-24220604.2961, 10333957.4477, -3290942.0185
310863,10, 30, 21729635.4460,20.00,58.41,284.46, 2.81, 1.71,  32302.35,   919750.8817, 23762433.0657, 11676358.1261
310863,10, 89, 37269985.4840,27.00,65.09,190.11, 2.64, 1.61, -54032.28,-14796868.3061, 39486109.0375,   988572.0259
310863,10, 93, 36818878.0380,22.00,74.44,103.31, 2.48, 1.54, -88310.37,-24376272.2043, 31436503.0604, 13466655.8579
310863,10, 94, 36934223.2270,18.00,77.08,299.73, 2.46, 1.52,  44299.21, -8736455.7527, 36533757.9178, 19459300.0586
310863,10, 96, 36854626.5890,13.00,73.50,343.41, 2.50, 1.54,   5079.95,-11303490.6636, 32273944.2863, 24552826.4450
310864, 9,  1, 21034834.5050,35.00,77.00, 70.98, 2.47, 1.52,  -7895.68,-13523784.7370, 19659957.6993, 11216215.0001
310864, 9,  7, 21265040.8490,33.00,64.96,224.39, 2.65, 1.61,  73034.42, -4881622.9537, 25621132.0879,  3721972.4029
310864, 9,  8, 24186114.7250,26.00,25.71, 43.62, 5.52, 2.89, -26851.68,-17064188.5482,  2717626.1719, 20266310.8268
310864, 9, 11, 21423873.8820,25.00,66.15, 19.22, 2.63, 1.60,-220437.17,-10713760.4459, 17256452.4040, 16623006.0297
310864, 9, 22, 24063206.0880,20.00,26.46,120.16, 5.37, 2.85, -82649.75,-24221150.3973, 10333721.6343, -3287886.4934
310864, 9, 30, 21729574.6490,22.00,58.41,284.44, 2.82, 1.71,  32302.35,   919002.6835, 23763754.5222, 11673712.1920
310864, 9, 93, 36818931.4700,23.00,74.44,103.32, 2.50, 1.54, -88310.37,-24375994.3124, 31437667.7450, 13464398.5516
310864, 9, 94, 36934357.6280,20.00,77.08,299.75, 2.47, 1.52,  44299.22, -8735302.0145, 36532868.4826, 19461486.6611
310864, 9, 96, 36854601.7220,16.00,73.50,343.41, 2.51, 1.54,   5079.94,-11303687.4810, 32275138.7751, 24551140.6755
310865, 9,  1, 21034983.3550,35.00,76.99, 70.94, 2.46, 1.52,  -7895.68,-13523622.7296, 19658492.8095, 11218972.4749
310865, 9,  7, 21265302.6540,36.00,64.96,224.37, 2.65, 1.61,  73034.42, -4882056.4305, 25621476.7456,  3718817.4297
310865, 9,  8, 24186571.8160,28.00,25.70, 43.63, 5.51, 2.89, -26851.68,-17065939.1617,  2715763.7749, 20265095.9017
310865, 9, 11, 21424175.7710,27.00,66.15, 19.22, 2.63, 1.60,-220437.18,-10714358.2936, 17254283.0122, 16624798.9789
310865, 9, 22, 24062990.5950,21.00,26.46,120.15, 5.37, 2.85, -82649.75,-24221696.1452, 10333485.7350, -3284830.8981
310865, 9, 30, 21729515.7200,20.00,58.41,284.43, 2.82, 1.71,  32302.34,   918254.6632, 23765075.7048, 11671066.0077
310865, 9, 93, 36818983.2280,26.00,74.44,103.34, 2.49, 1.54, -88310.38,-24375716.2486, 31438832.3873, 13462141.1734
310865, 9, 94, 36934492.7450,22.00,77.07,299.76, 2.46, 1.52,  44299.23, -8734148.4066, 36531978.8811, 19463673.1612
310865, 9, 96, 36854576.0180,19.00,73.50,343.40, 2.50, 1.54,   5079.93,-11303884.1232, 32276333.2918, 24549454.7752
310866,10,  1, 21035136.3940,36.00,76.99, 70.91, 2.46, 1.52,  -7895.68,-13523460.7137, 19657027.5731, 11221729.7057
310866,10,  7, 21265564.7570,38.00,64.95,224.36, 2.65, 1.62,  73034.42, -4882489.7761, 25621821.0442,  3715662.3762
310866,10,  8, 24187033.4270,31.00,25.70, 43.63, 5.51, 2.89, -26851.68,-17067689.7781,  2713901.5897, 20263880.5488
310866,10, 11, 21424478.9690,29.00,66.14, 19.23, 2.62, 1.60,-220437.18,-10714956.2784, 17252113.4191, 16626591.5615
310866,10, 22, 24062773.8640,20.00,26.46,120.14, 5.36, 2.85, -82649.75,-24222241.5396, 10333249.7497, -3281775.2328
310866,10, 30, 21729455.9700,25.00,58.42,284.41, 2.82, 1.71,  32302.34,   917506.8208, 23766396.6134, 11668419.5730
